epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.23266,0,7.92566,0,0,0,0,0,0,5.89867,0,0,0,0
2,9.01855,0,7.90545,0,0,0,0,0,0,5.90286,0,1.63399e-05,1.63399e-05,1.63399e-05
3,14.4908,0,7.94364,0,0,0,0,0,0,5.90671,0,3.20197e-05,3.20197e-05,3.20197e-05
4,20.928,0,7.90724,0,0,0,0,0,0,5.91054,0,4.70394e-05,4.70394e-05,4.70394e-05
5,26.633,0,7.85414,0,0,0,0,0,0,5.9143,0,6.13989e-05,6.13989e-05,6.13989e-05
6,31.2024,0,7.80344,0,0,0,0,0,0,5.91708,0,7.50984e-05,7.50984e-05,7.50984e-05
7,35.7973,0,7.80602,0,0,0,0,0,0,5.9188,0,8.81376e-05,8.81376e-05,8.81376e-05
8,40.4662,0,7.74549,0,0,0,0,0,0,5.92043,0,0.000100517,0.000100517,0.000100517
9,44.8043,0,7.6837,0,0,0,0,0,0,5.92043,0,0.000112236,0.000112236,0.000112236
10,49.4539,0,7.73467,0,0,0,0,0,0,5.92417,0,0.000123295,0.000123295,0.000123295
11,54.1955,0,7.69293,0,0,0,0,0,0,5.92417,0,0.000133693,0.000133693,0.000133693
12,58.863,0,7.69291,0,0,0,0,0,0,5.92716,0,0.000143432,0.000143432,0.000143432
13,63.1892,0,7.67444,0,0,0,0,0,0,5.92716,0,0.00015251,0.00015251,0.00015251
14,67.7959,0,7.64181,0,0,0,0,0,0,5.92981,0,0.000160929,0.000160929,0.000160929
15,72.162,0,7.62811,0,0,0,0,0,0,5.92981,0,0.000168687,0.000168687,0.000168687
16,77.3596,0,7.57549,0,0,0,0,0,0,5.93093,0,0.000175785,0.000175785,0.000175785
17,81.7662,0,7.52685,0,0,0,0,0,0,5.93093,0,0.000182223,0.000182223,0.000182223
18,86.5104,0,7.57233,0,0,0,0,0,0,5.93281,0,0.000188001,0.000188001,0.000188001
19,90.8101,0,7.48494,0,0,0,0,0,0,5.93281,0,0.000193119,0.000193119,0.000193119
20,95.3779,0,7.48179,0,0,0,0,0,0,5.9351,0,0.000197576,0.000197576,0.000197576
21,99.735,0,7.41195,0,0,0,0,0,0,5.9351,0,0.000201374,0.000201374,0.000201374
22,105.276,0,7.41801,0,0,0,0,0,0,5.93843,0,0.000204511,0.000204511,0.000204511
23,109.724,0,7.43198,0,0,0,0,0,0,5.93843,0,0.000206988,0.000206988,0.000206988
24,114.155,0,7.36526,0,0,0,0,0,0,5.93843,0,0.000208805,0.000208805,0.000208805
25,119.164,0,7.38116,0,0,0,0,0,0,5.94654,0,0.000209962,0.000209962,0.000209962
26,124.147,0,7.30322,0,0,0,0,0,0,5.94654,0,0.000210459,0.000210459,0.000210459
27,128.838,0,7.30284,0,0,0,0,0,0,5.94654,0,0.000210295,0.000210295,0.000210295
28,134.54,0,7.39582,0,0,0,0,0,0,5.95189,0,0.000209472,0.000209472,0.000209472
29,139.185,0,7.27467,0,0,0,0,0,0,5.95189,0,0.000207988,0.000207988,0.000207988
30,143.873,0,7.30728,0,0,0,0,0,0,5.95189,0,0.000205844,0.000205844,0.000205844
31,148.721,0,7.25958,0,0,0,0,0,0,5.95586,0,0.000203041,0.000203041,0.000203041
32,153.434,0,7.25772,0,0,0,0,0,0,5.95586,0,0.000199577,0.000199577,0.000199577
33,157.757,0,7.27489,0,0,0,0,0,0,5.95586,0,0.000195452,0.000195452,0.000195452
34,162.388,0,7.18769,0,0,0,0,0,0,5.95751,0,0.000190668,0.000190668,0.000190668
35,166.755,0,7.24051,0,0,0,0,0,0,5.95751,0,0.000185224,0.000185224,0.000185224
36,171.02,0,7.15834,0,0,0,0,0,0,5.95751,0,0.000179119,0.000179119,0.000179119
37,175.439,0,7.17468,0,0,0,0,0,0,5.95751,0,0.000172354,0.000172354,0.000172354
38,180.407,0,7.20373,0,0,0,0,0,0,5.95819,0,0.00016493,0.00016493,0.00016493
39,184.837,0,7.10297,0,0,0,0,0,0,5.95819,0,0.000156845,0.000156845,0.000156845
40,189.135,0,7.17791,0,0,0,0,0,0,5.95819,0,0.0001481,0.0001481,0.0001481
41,193.601,0,7.07796,0,0,0,0,0,0,5.95819,0,0.000138694,0.000138694,0.000138694
42,198.251,0,7.06902,0,0,0,0,0,0,5.95568,0,0.000128629,0.000128629,0.000128629
43,202.688,0,7.04793,0,0,0,0,0,0,5.95568,0,0.000117904,0.000117904,0.000117904
44,207.132,0,7.0863,0,0,0,0,0,0,5.95568,0,0.000106518,0.000106518,0.000106518
45,211.491,0,7.01848,0,0,0,0,0,0,5.95568,0,9.44722e-05,9.44722e-05,9.44722e-05
46,216.182,0,7.03011,0,0,0,0,0,0,5.94836,0,8.17663e-05,8.17663e-05,8.17663e-05
47,220.799,0,6.97049,0,0,0,0,0,0,5.94836,0,6.84003e-05,6.84003e-05,6.84003e-05
48,225.112,0,6.97243,0,0,0,0,0,0,5.94836,0,5.43742e-05,5.43742e-05,5.43742e-05
49,229.481,0,6.98725,0,0,0,0,0,0,5.94836,0,3.96879e-05,3.96879e-05,3.96879e-05
50,234.171,0,6.97723,0,0,0,0,0,0,5.9365,0,2.43415e-05,2.43415e-05,2.43415e-05
